Sukunimi,Nimenhaltijoita yhteensä 
Niemonen,248
Pihlman,248
Pylväs,248
Tella,248
Torkkola,248
Turku,248
Abrahamsson,247
Ahlvik,247
Ansamaa,247
Enkvist,247
Herttuainen,247
Katajala,247
Kiminki,247
Kouri,247
Laisi,247
Malo,247
Muinonen,247
Nordgren,247
Palmunen,247
Sundkvist,247
Viikari,247
Jurvakainen,246
Kimpimäki,246
Kirvesmäki,246
Kytönen,246
Lasanen,246
Mahkonen,246
Mämmi,246
Allén,245
Ekqvist,245
Haavikko,245
Kerman,245
Koukku,245
Kyngäs,245
Käkönen,245
Rautiola,245
Saarto,245
Stenbacka,245
Värri,245
Esko,244
Hiipakka,244
Huoponen,244
Käpylä,244
Laihanen,244
Latvanen,244
Lius,244
Myllylahti,244
Parjanen,244
Pukkinen,244
Pyhäjärvi,244
Rajahalme,244
Tuokkola,244
Vikki,244
Williams,244
Hiitola,243
Honkavaara,243
Isosaari,243
Kainu,243
Käsmä,243
Partio,243
Pigg,243
Pitko,243
Pokka,243
Santamäki,243
Waris,243
Brusila,242
Föhr,242
Haimakainen,242
Haukilahti,242
Hertteli,242
Maula,242
Rahikkala,242
Rajalin,242
Saukonoja,242
Taivassalo,242
Tarkkanen,242
Vainonen,242
Kamppinen,241
Liinamaa,241
Pappila,241
Teppola,241
Tuupanen,241
Viita-aho,241
Vironen,241
Ylimartimo,241
Junnikkala,240
Koppinen,240
Kotka,240
Laitamäki,240
Lindahl,240
Raiski,240
Sunnari,240
Tötterman,240
Vedenpää,240
Åstrand,240
Berghäll,239
Hall,239
Helkiö,239
Hottinen,239
Jukkola,239
Karjunen,239
Kukka,239
Kälviäinen,239
Loukkola,239
Satta,239
Simanainen,239
Vikstedt,239
Alhainen,238
Ampuja,238
Borgström,238
Inkala,238
Kolkka,238
Kontro,238
Lohikoski,238
Pennala,238
Pulakka,238
Santalahti,238
Syväoja,238
Yrjänheikki,238
Järvimäki,237
Kaplas,237
Ketomäki,237
Klinga,237
Konu,237
Kulo,237
Kuningas,237
Launiainen,237
Nikola,237
Railo,237
Renko,237
Riippi,237
Sandqvist,237
Sappinen,237
Tarnanen,237
Wirén,237
Huomo,236
Häkämies,236
Jauho,236
Kattainen,236
Kivilompolo,236
Korkiakangas,236
Magnusson,236
Mämmelä,236
Naski,236
Pieviläinen,236
Roukala,236
Savioja,236
Sundblom,236
Viljanmaa,236
Forsén,235
Kaarna,235
Kaijanen,235
Kitunen,235
Kivikko,235
Kortesmaa,235
Kosamo,235
Lemmetti,235
Liiri,235
Marjoniemi,235
Paso,235
Vasarainen,235
Yusuf,235
Ahoniemi,234
Gardemeister,234
Kivisaari,234
Kuoppamäki,234
Martimo,234
Murtoniemi,234
Ora,234
Pappinen,234
Perkiömäki,234
Piipari,234
Rosqvist,234
Ruha,234
Röppänen,234
Sarvi,234
Skogster,234
Sova,234
Spets,234
Storm,234
Tastula,234
Tynjälä,234
Vänni,234
Hasanen,233
Hepo-oja,233
Hirvasniemi,233
Kleimola,233
Kyrölä,233
Lahdelma,233
Lumiaho,233
Mahamed,233
Tuuliainen,233
Wall,233
Eteläaho,232
Juvakka,232
Kilpelä,232
Louhi,232
Lybeck,232
Rautakorpi,232
Riska,232
Still,232
Suonio,232
Särkinen,232
Tervakangas,232
Vuollet,232
Ypyä,232
Antola,231
Brown,231
Kaisla,231
Kyynäräinen,231
Lassfolk,231
Lautiainen,231
Lohiniva,231
Munne,231
Noronen,231
Roikonen,231
Rusila,231
Siermala,231
Suopajärvi,231
Tervahauta,231
Tuomisalo,231
Vartia,231
Autti,230
Heijari,230
Hieta,230
Inberg,230
Pöyskö,230
Ruokanen,230
Sahi,230
Tikkakoski,230
Tuoriniemi,230
Vilppula,230
Albrecht,229
Espo,229
Hassel,229
Kakkuri,229
Kivivuori,229
Liias,229
Nelimarkka,229
Pajukangas,229
Paukkeri,229
Pätäri,229
Rikkinen,229
Rättyä,229
Siljamäki,229
Vuotila,229
Väätäjä,229
Yliaho,229
Forslund,228
Henttu,228
Hosionaho,228
Kääpä,228
Muuronen,228
Suoknuuti,228
Tiitta,228
Tujula,228
Wallius,228
Virnes,228
Antell,227
Eskolin,227
Hakuli,227
Hallamaa,227
Honkamäki,227
Julku,227
Jääskelä,227
Kaltiainen,227
Kärhä,227
Merkkiniemi,227
Mielikäinen,227
Nyrönen,227
Stigell,227
Welin,227
Wickholm,227
Bogdanoff,226
Haapiainen,226
Höyhtyä,226
Jokimäki,226
Kaustinen,226
Lauren,226
Loppi,226
Mensonen,226
Poikola,226
Pylväläinen,226
Ruotanen,226
Takamäki,226
Tynys,226
Uljas,226
Aspholm,225
Fingerroos,225
Greus,225
Polso,225
Rita,225
Tilus,225
Bergroth,224
Ihatsu,224
Koskivirta,224
Lommi,224
Perho,224
Rapeli,224
Vieno,224
Vihonen,224
Viikki,224
Ahde,223
Forsbacka,223
Haapio,223
Kesälä,223
Lensu,223
Massinen,223
Paasovaara,223
Päiviö,223
Sikala,223
Tofferi,223
Vyyryläinen,223
Hatanpää,222
Hotanen,222
Joukainen,222
Kangasvieri,222
Laapotti,222
Lakka,222
Lunkka,222
Löfberg,222
Ollikkala,222
Pörsti,222
Sulkakoski,222
Tielinen,222
Wendelin,222
Frimodig,221
Hanhisalo,221
Hantula,221
Hooli,221
Hällström,221
Jalovaara,221
Jyrkkä,221
Kantoluoto,221
Kippola,221
Kivimaa,221
Kouki,221
Petrell,221
Pokki,221
Tiala,221
Tiirola,221
Tuutti,221
Valkola,221
Veijanen,221
Veijonen,221
Vilpponen,221
Aminoff,220
Enholm,220
Grannas,220
Huopainen,220
Iiskola,220
Järventausta,220
Kivilä,220
Leppävuori,220
Levomäki,220
Rämänen,220
Sinivuori,220
Taalikka,220
Wallén,220
Vehkalahti,220
Håkans,219
Kiuttu,219
Koso,219
Muttilainen,219
Mäntymaa,219
Raukola,219
Rosenlund,219
Rousku,219
Syrjämäki,219
Alkio,218
Elg,218
Mäkiaho,218
Petäjäniemi,218
Rossinen,218
Vaakanainen,218
Vottonen,218
Hyökki,217
Konola,217
Lahdensuo,217
Leivonen,217
Löfström,217
Mannström,217
Mikkanen,217
Nojonen,217
Ollilainen,217
Paija,217
Pasonen,217
Pieniniemi,217
Talvinen,217
Vuola,217
Gråsten,216
Hutri,216
Hyötyläinen,216
Häivälä,216
Ihanamäki,216
Kangasaho,216
Kokkala,216
Munukka,216
Mälkönen,216
Olsen,216
Onkamo,216
Pellonpää,216
Salla,216
Solin,216
Tikander,216
Tomminen,216
Trygg,216
Westergård,216
Ahmad,215
Hollanti,215
Junes,215
Juvani,215
Kantelinen,215
Kaurala,215
Kavén,215
Kuusikko,215
Merimaa,215
Muttonen,215
Niinivirta,215
Nyfors,215
Näkki,215
Tolmunen,215
Vuolteenaho,215
Alestalo,214
Angeria,214
Försti,214
Gashi,214
Harakka,214
Kokkila,214
Korjonen,214
Kuivaniemi,214
Lento,214
Leppäkangas,214
Muhli,214
Savinen,214
Taipaleenmäki,214
Teinilä,214
Vainiomäki,214
Öhberg,214
Aakko,213
Gäddnäs,213
Haapalehto,213
Herva,213
Huusari,213
Isosomppi,213
Junikka,213
Lattunen,213
Pakka,213
Pyörälä,213
Romakkaniemi,213
Rosnell,213
Saarelma,213
Tonttila,213
Valtari,213
Vanamo,213
Varho,213
Vehanen,213
Hollo,212
Honkola,212
Huhtiniemi,212
Kaitala,212
Kastinen,212
Korkea-aho,212
Kulonen,212
Lehtovuori,212
Mäntyvaara,212
Pekola,212
Rimpeläinen,212
Silver,212
Solonen,212
Svartsjö,212
Tuuli,212
Ulkuniemi,212
Varjola,212
Yrjänäinen,212
Alasaari,211
Hölsä,211
Jousmäki,211
Kilpiä,211
Kojonen,211
Kyrönlahti,211
Lindeberg,211
Lönn,211
Mäntysalo,211
Pylkkö,211
Rantakari,211
Rytkölä,211
Tanhua,211
Ängeslevä,211
Alasalmi,210
Gynther,210
Hursti,210
Jokila,210
Rajakallio,210
Riskilä,210
Roitto,210
Sundvik,210
Tervaniemi,210
Törmälehto,210
Varvikko,210
Öster,210
Baltzar,209
Degerlund,209
Haapakangas,209
Kallela,209
Kock,209
Laihinen,209
Loijas,209
Mäntykoski,209
Näykki,209
Ojansuu,209
Ruutiainen,209
Rytky,209
Svenfelt,209
Toljamo,209
Aaltola,208
Alajärvi,208
Iisakka,208
Nahkala,208
Nyyssölä,208
Rontu,208
Saksi,208
Siurua,208
Sola,208
Ylenius,208
Bagge,207
Borgman,207
Haltsonen,207
Hanhikoski,207
Hjort,207
Hyötylä,207
Kiviniitty,207
Knuts,207
Kortelahti,207
Kurronen,207
Kuuluvainen,207
Kvick,207
Landén,207
Lohela,207
Lundahl,207
Luosujärvi,207
Niemitalo,207
Nurmisto,207
Ojamo,207
Rannila,207
Rantakokko,207
Rytinki,207
Säynäjäkangas,207
Wasström,207
Vellonen,207
Vähäsalo,207
Övermark,207
Aden,206
Alaranta,206
Koskiranta,206
Lauttamus,206
Liljeroos,206
Nielsen,206
Pajuniemi,206
Parkkisenniemi,206
Paulin,206
Pedersen,206
Savukoski,206
Sederholm,206
Simpura,206
Toimela,206
Törmikoski,206
Hollmén,205
Kajala,205
Kampman,205
Kivipelto,205
Lemponen,205
Maliniemi,205
Melin,205
Metsänen,205
Mälkki,205
Pitkäjärvi,205
Pöntynen,205
Sarpola,205
Schauman,205
Seppi,205
Snell,205
Sunila,205
Aaltio,204
Aatsinki,204
Halla,204
Hassi,204
Hjerppe,204
Järvilehto,204
Kaura,204
Kippo,204
Kotola,204
Liikamaa,204
Miller,204
Tepsa,204
Vilja,204
Östergård,204
Ahponen,203
Finnberg,203
Jouppila,203
Jäkälä,203
Larsen,203
Lyijynen,203
Markula,203
Matinlassi,203
Metsämäki,203
Nystedt,203
Nöjd,203
Rauhanen,203
Tiippana,203
Tiri,203
Tunkkari,203
Balk,202
Hilska,202
Juntti,202
Niemikorpi,202
Ollonen,202
Ruonakoski,202
Salmelainen,202
Sandbacka,202
Turkkila,202
Yildirim,202
Josefsson,201
Jouppi,201
Karhulahti,201
Kivirinta,201
Kormano,201
Liljeberg,201
Lohvansuu,201
Luotola,201
Rautavuori,201
Walldén,201
Ahava,200
Ailio,200
Alila,200
Alin,200
Hynönen,200
Liehu,200
Lukkala,200
Mallat,200
Mansner,200
Rautavirta,200
Siik,200
Siikaluoma,200
Strandén,200
Suonvieri,200
Sykkö,200
Vuorijärvi,200
Annunen,199
Granvik,199
Hakamaa,199
Heimala,199
Helo,199
Kjellman,199
Mannelin,199
Näränen,199
Rae,199
Ritamäki,199
Ruusuvuori,199
Suonperä,199
Apell,198
Hirvimäki,198
Jurva,198
Juurikka,198
Jylänki,198
Karimäki,198
Kolsi,198
Korvenpää,198
Kossila,198
Kotonen,198
Kurunsaari,198
Kyyrönen,198
Magga,198
Mäklin,198
Mäläskä,198
Paasimaa,198
Pyhälä,198
Randell,198
Rantamaa,198
Salmio,198
Satokangas,198
Sissonen,198
Torvi,198
Wacklin,198
Wilska,198
Baarman,197
Hahto,197
Huppunen,197
Jakola,197
Kangassalo,197
Kesonen,197
Kortesniemi,197
Kyllästinen,197
Majamaa,197
Melanen,197
Narinen,197
Niinimaa,197
Nummenpää,197
Peräsalo,197
Ristiluoma,197
Allonen,196
Guttorm,196
Hamunen,196
Hanni,196
Heinäaho,196
Hell,196
Jetsonen,196
Kaikko,196
Luumi,196
Merikallio,196
Rasa,196
Rönkkönen,196
Santavuori,196
Söderling,196
Vihinen,196
Ylhäinen,196
Finell,195
Korja,195
Kuure,195
Lintu,195
Louhivuori,195
Loukola,195
Lukin,195
Nybäck,195
Nygrén,195
Paasila,195
Pesälä,195
Punnonen,195
Sevón,195
Unkuri,195
Ellilä,194
Gabrielsson,194
Hasa,194
Hepola,194
Jaakonaho,194
Kurko,194
Kylli,194
Peri,194
Porvari,194
Sojakka,194
Vaaraniemi,194
Vakkilainen,194
Vapaavuori,194
Alapiha,193
Donner,193
Finni,193
Haimila,193
Hankaniemi,193
Jukka,193
Junnilainen,193
Kansanen,193
Kirmanen,193
Korvela,193
Kuhlman,193
Kumpu,193
Kumpuniemi,193
Laiti,193
Lapinlampi,193
Li,193
Lignell,193
Mellanen,193
Pasuri,193
Pöppönen,193
Rannisto,193
Rokkanen,193
Sukanen,193
Södö,193
Teir,193
Viirret,193
Vuorikoski,193
Ylä-Outinen,193
Annola,192
Eteläpää,192
Franzén,192
Hill,192
Jalli,192
Järnström,192
Kaijansinkko,192
Kaivonen,192
Keihäs,192
Kolppanen,192
Lönnblad,192
Mantsinen,192
Näppä,192
Petäjistö,192
Pihkanen,192
Poranen,192
Raasakka,192
Rautalin,192
Rosenblad,192
Tasanen,192
Tennilä,192
Tuusa,192
Vesterbacka,192
Vestman,192
Vähäaho,192
Åkerberg,192
Becker,191
Frondelius,191
Hanninen,191
Holländer,191
Ihonen,191
Ivanoff,191
Jouhki,191
Jäske,191
Koskelin,191
Kujamäki,191
Kurvi,191
Myllyneva,191
Niinisalo,191
Nyblom,191
Punkkinen,191
Rosengren,191
Sollo,191
Stranius,191
Tolsa,191
Abdullahi,190
Haapa,190
Kaseva,190
Keltanen,190
Kortetjärvi,190
Mattanen,190
Nordin,190
Poukka,190
Teperi,190
Tompuri,190
Waldén,190
Vasko,190
Ekebom,189
Enckell,189
Heilala,189
Helkala,189
Kaisanlahti,189
Lagus,189
Mecklin,189
Nivalainen,189
Nyroos,189
Pessa,189
Askola,188
Björninen,188
Ceder,188
Hakkola,188
Hinkka,188
Junkkarinen,188
Kangasmaa,188
Kapiainen,188
Kinnula,188
Kronholm,188
Kuuva,188
Lönnfors,188
Malminen,188
Menna,188
Miikki,188
Paatelainen,188
Pada,188
Rinta-aho,188
Råman,188
Saarivirta,188
Silvo,188
Söderback,188
Ahlsten,187
Aunio,187
Bengs,187
Davidsson,187
Hippeläinen,187
Hjulfors,187
Horppu,187
Huopalainen,187
Huovilainen,187
Näppi,187
Pajamäki,187
Rimmi,187
Sikkilä,187
Suntio,187
Vehkaperä,187
Haapasalmi,186
Hippi,186
Juotasniemi,186
Juusti,186
Kitti,186
Koro,186
Kulla,186
Liukku,186
Norrena,186
Piepponen,186
Poussu,186
Puuska,186
Ruippo,186
Satomaa,186
Söder,186
Tarhonen,186
Avellan,185
Böök,185
Harjanne,185
Hirvilammi,185
Jerkku,185
Jokilehto,185
Krogerus,185
Känsäkoski,185
Majala,185
Nuopponen,185
Paasio,185
Paaso-Rantala,185
Paloranta,185
Pippola,185
Randelin,185
Saukkola,185
Tikkinen,185
Toivoniemi,185
Wang,185
Falk,184
Hakasalo,184
Hanhimäki,184
Hankonen,184
Hohtari,184
Holsti,184
Jukola,184
Karkulahti,184
Kouvonen,184
Kullas,184
Laaja,184
Lakaniemi,184
Munter,184
Portin,184
Pulju,184
Punkka,184
Rantaniemi,184
Rihu,184
Sammalisto,184
Savilampi,184
Sydänmaa,184
Touru,184
Ventelä,184
Vilpas,184
Björkroth,183
Hiiri,183
Hälvä,183
Keisu,183
Kimari,183
Kirsilä,183
Korkeila,183
Korpijärvi,183
Kuoksa,183
Leppäkorpi,183
Liukka,183
Mitrunen,183
Ojalainen,183
Palmi,183
Poikajärvi,183
Takamaa,183
Toppi,183
Vilkuna,183
Väinämö,183
Bordi,182
Hautaluoma,182
Ingves,182
Jones,182
Knutar,182
Komsi,182
Kontula,182
Kukkamäki,182
Kähkölä,182
Lindlöf,182
Löytty,182
Madetoja,182
Pisilä,182
Poutala,182
Rajanen,182
Sippala,182
Virpi,182
Hissa,181
Honko,181
Karilainen,181
Karjanlahti,181
Kopola,181
Kyttälä,181
Mäkikyrö,181
Norrback,181
Panttila,181
Puoliväli,181
Puutio,181
Rosberg,181
Salokoski,181
Siironen,181
Sjöstrand,181
Wennström,181
Ekroth,180
Erholtz,180
Haimilahti,180
Hongell,180
Huuska,180
Höijer,180
Kiri,180
Kuivila,180
Kummala,180
Laaninen,180
Melkko,180
Sarkki,180
Sarre,180
Tegelberg,180
Toroi,180
Troberg,180
Vihelä,180
Väliheikki,180
Ylikärppä,180
Björkholm,179
Gripenberg,179
Herttua,179
Järviluoma,179
Kinanen,179
Kopsala,179
Kujanen,179
Leipälä,179
Läspä,179
Neva,179
Nykopp,179
Peussa,179
Pinomäki,179
Puotiniemi,179
Puruskainen,179
Raaska,179
Ranto,179
Saviranta,179
Träskelin,179
Uuksulainen,179
Witick,179
Achrén,178
Ahvenniemi,178
Aittomäki,178
Hasan,178
Huldén,178
Jordan,178
Kopponen,178
Kulmanen,178
Känsäkangas,178
Käyhty,178
Lahdenmäki,178
Löflund,178
Mamia,178
Nietula,178
Orajärvi,178
Ruotsi,178
Strang,178
Tommiska,178
Torssonen,178
Vakkila,178
Ahokainen,177
Häggström,177
Latikka,177
Lemola,177
Leppäjärvi,177
Paasi,177
Puupponen,177
Pääkkölä,177
Riippa,177
Saapunki,177
Salmén,177
Sauvola,177
Sillankorva,177
Sjöstedt,177
Skinnari,177
Suoraniemi,177
Taiminen,177
Urpalainen,177
Vappula,177
Velling,177
Colliander,176
Elenius,176
Humalamäki,176
Kesälahti,176
Kipinä,176
Kopsa,176
Kurikkala,176
Rintakoski,176
Roisko,176
Saviniemi,176
Seppäläinen,176
Tirroniemi,176
Tylli,176
Vehkala,176
Vinberg,176
Arvila,175
Halenius,175
Helttunen,175
Juppi,175
Keijonen,175
Lilius,175
Metsä,175
Nukari,175
Partonen,175
Pieskä,175
Raja,175
Roberts,175
Savo,175
Schildt,175
Simojoki,175
Ullgren,175
Alasuutari,174
Florin,174
Hovinen,174
Hujala,174
Kalliojärvi,174
Kekarainen,174
Klemettilä,174
Korpikoski,174
Kukkurainen,174
Kutila,174
Kylmäluoma,174
Käräjäoja,174
Lampola,174
Lähdeniemi,174
Nokkonen,174
Oivanen,174
Patana,174
Pelo,174
Porola,174
Pystynen,174
Pösö,174
Santaharju,174
Stjernberg,174
Sulasalmi,174
Syrén,174
Taylor,174
Timoskainen,174
Tyynismaa,174
Vanhamäki,174
Vättö,174
Alahäivälä,173
Aspelin,173
Frantsi,173
Hannu,173
Havana,173
Hettula,173
Hukari,173
Huvila,173
Isotalus,173
Kiikka,173
Korvenranta,173
Kuurne,173
Kyöstilä,173
Lehmusto,173
Levy,173
Suikkari,173
Syväniemi,173
Talsi,173
Talus,173
Tamsi,173
Tuure,173
Vahvaselkä,173
Vasenius,173
Wathén,173
Viikilä,173
Vähälä,173
Ahlbäck,172
Degerman,172
Elf,172
Felin,172
Ferm,172
Haaraniemi,172
Johansen,172
Jåfs,172
Kaukua,172
Kiesi,172
Korkatti,172
Leppikangas,172
Piikkilä,172
Pitkäkoski,172
Salonsaari,172
Skön,172
Solehmainen,172
Säde,172
Tiuraniemi,172
Wetterstrand,172
Viemerö,172
Dunder,171
Etholén,171
Etula,171
Forsten,171
Halmesmäki,171
Hanhineva,171
Hoppula,171
Kangasharju,171
Kasari,171
Kerkkänen,171
Kirvesniemi,171
Laajala,171
Lackman,171
Länsman,171
Mohammed,171
Nikitin,171
Nikko,171
Patokoski,171
Piltonen,171
Rantsi,171
Tiiro,171
Valkealahti,171
Ylilehto,171
Goman,170
Hohenthal,170
Jokihaara,170
Kaipia,170
Kantoniemi,170
Kitinoja,170
Kultala,170
Mätäsaho,170
Ohra-aho,170
Peltokoski,170
Pohjanheimo,170
Puustelli,170
Selonen,170
Soudunsaari,170
Toukola,170
Vaaranmaa,170
Åkerfelt,170
Äijänen,170
Ainali,169
Berggren,169
Borén,169
Hilander,169
Huhtakallio,169
Hynnä,169
Junnonen,169
Kihlström,169
Laivamaa,169
Lapinkangas,169
Lee,169
Litja,169
Matalamäki,169
Melto,169
Nihtilä,169
Nuojua,169
Rantakallio,169
Rehula,169
Salmu,169
Seger,169
Torvikoski,169
Turtia,169
Vakkala,169
Vallo,169
Beijar,168
Eränen,168
Granat,168
Heikonen,168
Holmsten,168
Kaihua,168
Kekola,168
Koskensalo,168
Kotimäki,168
Koukka,168
Lahdenranta,168
Laivo,168
Liljestrand,168
Louhela,168
Molin,168
Mussalo,168
Niemimäki,168
Niskakoski,168
Pöytälaakso,168
Sulkava,168
Suvela,168
Svenlin,168
Airikka,167
Fränti,167
Haanperä,167
Huvinen,167
Idman,167
Imponen,167
Judin,167
Lehtomaa,167
Mandelin,167
Meyer,167
Nord,167
Paloviita,167
Passoja,167
Pelto,167
Rikkola,167
Rupponen,167
Ruusu,167
Suutala,167
Tero,167
Ahvenlampi,166
Harmanen,166
Henttunen,166
Höykinpuro,166
Ilander,166
Iskanius,166
Kekäle,166
Kulppi,166
Lindevall,166
Porkola,166
Pöyliö,166
Riihiluoma,166
Ronimus,166
Ruohoniemi,166
Röytiö,166
Saartoala,166
Sivunen,166
Solja,166
Untinen,166
Uusi-Illikainen,166
Vekkeli,166
Welander,166
Ylikorpi,166
Öst,166
Arvo,165
Hovilainen,165
Huotarinen,165
Isotupa,165
Jääskä,165
Kansanaho,165
Klockars,165
Korpisalo,165
Kuusisaari,165
Käld,165
Mela,165
Metsävainio,165
Niinivaara,165
Niklander,165
Nykyri,165
Peltoperä,165
Pilli,165
Potila,165
Vahvelainen,165
Valkeejärvi,165
Velin,165
Vihriälä,165
Askolin,164
Biström,164
Fast,164
Granskog,164
Henell,164
Härkälä,164
Inkeröinen,164
Kentala,164
Kinos,164
Kollin,164
Korelin,164
Kuntonen,164
Kuoppa,164
Lastikka,164
Linjama,164
Loukasmäki,164
Markkinen,164
Miilumäki,164
Nurmiranta,164
Pahkasalo,164
Pirttiniemi,164
Pylsy,164
Ruismäki,164
Satola,164
Savilahti,164
Siikavirta,164
Andersen,163
Brännbacka,163
Byckling,163
Hopiavuori,163
Houni,163
Hurtta,163
Hämeenaho,163
Högman,163
Joutjärvi,163
Jukkala,163
Karisto,163
Kiljander,163
Loman,163
Luuri,163
Oras,163
Paussu,163
Pohjoisaho,163
Ravi,163
Rindell,163
Rönnlund,163
Stolpe,163
Stranden,163
Ylihärsilä,163
Öberg,163
Översti,163
Fischer,162
Heiniluoma,162
Hilpinen,162
Hohti,162
Iljin,162
Junni,162
Kaistinen,162
Kontola,162
Lamminsivu,162
Mathlin,162
Ollakka,162
Ollikka,162
Patrakka,162
Pekurinen,162
Pylväinen,162
Rönnblad,162
Salmivaara,162
Sjövall,162
Ulvila,162
Uusivirta,162
Fransman,161
Kalli,161
Kovala,161
Kurhela,161
Kyösti,161
Lehtiranta,161
Mahamud,161
Petrelius,161
Pisto,161
Pöykkö,161
Rehnström,161
Riuttanen,161
Saurén,161
Suovanen,161
Taimisto,161
Aitta,160
Ala-aho,160
Appel,160
Chen,160
Grönblom,160
Ilo,160
Kaario,160
Kurittu,160
Kääntä,160
Lam,160
Lampimäki,160
Lavi,160
Lopperi,160
Lyttinen,160
Majoinen,160
Packalen,160
Pietinen,160
Pihala,160
Pyötsiä,160
Päivärinne,160
Qvarnström,160
Raijas,160
Ruti,160
Soinio,160
Alakotila,159
Halvari,159
Jatkola,159
Kakkinen,159
Kelahaara,159
Kesäniemi,159
Kirjalainen,159
Laitio,159
Leppälahti,159
Lähdeaho,159
Meskus,159
Norppa,159
Papinaho,159
Pohjavirta,159
Pänkäläinen,159
Rönty,159
Saramäki,159
Seitsonen,159
Sinivaara,159
Smura,159
Tornikoski,159
Törnblom,159
Hamberg,158
Jukkara,158
Juntto,158
Jylhä-Ollila,158
Kangastie,158
Lanne,158
Lehtosalo,158
Munck,158
Munnukka,158
Mäkipelto,158
Nybom,158
Oiva,158
Palkeinen,158
Puukka,158
Raja-aho,158
Sanaksenaho,158
Sarkola,158
Savimäki,158
Snicker,158
Ståhle,158
Tuikkala,158
Ukonaho,158
Utter,158
Vidjeskog,158
Viiru,158
Aakula,157
Alkula,157
Broberg,157
Franssila,157
Hautalahti,157
Hoffman,157
Härkin,157
Hökkä,157
Karinkanta,157
Laitakari,157
Lehtoniemi,157
Lundin,157
Mansikkaviita,157
Mohammadi,157
Mustanoja,157
Nevanpää,157
Nynäs,157
Riihonen,157
Schneider,157
Sevon,157
Simelius,157
Simi,157
Sulkanen,157
Särkioja,157
Tikkamäki,157
Toijonen,157
Vähäjylkkä,157
Ahomäki,156
Alonen,156
Haaponiemi,156
Hedström,156
Hiekkala,156
Huotilainen,156
Ilmola,156
Joentakanen,156
Keituri,156
Kemilä,156
Lapinoja,156
Loikala,156
Loikas,156
Marttunen,156
Mölkänen,156
Nur,156
Orell,156
Piili,156
Piskonen,156
Pitkä,156
Portaankorva,156
Said,156
Samppala,156
Skarp,156
Stålhammar,156
Säämänen,156
Sääski,156
Tekoniemi,156
Tenhonen,156
Zitting,156
Ahlman,155
Aikioniemi,155
Autero,155
Bremer,155
Dahlin,155
Grönmark,155
Halén,155
Hankala,155
Hatunen,155
Levä,155
Pylvänen,155
Ruissalo,155
Santikko,155
Sara,155
Savenius,155
Schröder,155
Store,155
Suoninen,155
Trogen,155
Tujunen,155
Vahteristo,155
Vasankari,155
Virén,155
Virtamo,155
Vähäkainu,155
Yritys,155
Öström,155
Christensen,154
Fjäder,154
Haipus,154
Hallenberg,154
Holmgren,154
Hunnakko,154
Hyle,154
Häyry,154
Kallo,154
Kannosto,154
Kontto,154
Korpimäki,154
Kultti,154
Kurtén,154
Kylmämaa,154
Kylmäniemi,154
Kynkäänniemi,154
Luomajoki,154
Piekkari,154
Rosenlöf,154
Röyttä,154
Seppinen,154
Viiala,154
Vilokkinen,154
Barsk,153
Frantti,153
Helppi,153
Hirsikangas,153
Huisman,153
Huurre,153
Ingberg,153
Joutsi,153
Kyyrä,153
Lehmussaari,153
Lukander,153
Lukkaroinen,153
Maljanen,153
Mört,153
Paloposki,153
Pyhtilä,153
Rajalahti,153
Raski,153
Reinilä,153
Rimpilä,153
Räikkä,153
Samuelsson,153
Silvander,153
Teerimäki,153
Wikstedt,153
Villberg,153
Broström,152
Collan,152
Heiman,152
Hölsö,152
Jarkko,152
Jauhojärvi,152
Jussinniemi,152
Kaaja,152
Kahilainen,152
Kamppuri,152
Karasti,152
Karlstedt,152
Kilpiäinen,152
Kontulainen,152
Kärsämä,152
Liu,152
Luukas,152
Nikupeteri,152
Ojakoski,152
Ollonqvist,152
Portti,152
Reis,152
Riepponen,152
Ruokokoski,152
Saviaro,152
Selkäinaho,152
Semi,152
Silván,152
Suojoki,152
Taimela,152
Tohmo,152
Viippola,152
Axelsson,151
Erkko,151
Heide,151
Helsing,151
Hintsa,151
Högberg,151
Intonen,151
Kajanus,151
Kamila,151
Karikoski,151
Klemettinen,151
Kyytsönen,151
Lallo,151
Lantela,151
Lautanen,151
Loukiainen,151
Länkinen,151
Malén,151
Mäntyharju,151
Nirkkonen,151
Nolvi,151
Piippola,151
Poukkula,151
Prusti,151
Snygg,151
Tajakka,151
Tenho,151
Tuomiranta,151
Vanhalakka,151
Wiksten,151
Vinkki,151
Ylinampa,151
Äyräs,151
Hämeenkorpi,150
Hätälä,150
Kellosaari,150
Kettu,150
Klingberg,150
Kostet,150
Kumlin,150
Kölhi,150
Lahnalampi,150
Liikka,150
Majalahti,150
Mansikka-aho,150
Merikoski,150
Mäkäläinen,150
Nymark,150
Nystén,150
Ohenoja,150
Ojaranta,150
Pärkkä,150
Sihto,150
Sirainen,150
Sirniö,150
Skippari,150
Tuimala,150
Vieri,150
Viitikko,150
Arbelius,149
Arppe,149
Astala,149
Biskop,149
Fallström,149
Jonninen,149
Kamppi,149
Kipinoinen,149
Klami,149
Muittari,149
Muli,149
Nikkarinen,149
Oravasaari,149
Puikko,149
Pönkä,149
Rautala,149
Schultz,149
Soinila,149
Valkila,149
Viitaharju,149
Ylärakkola,149
Berlin,148
Ekdahl,148
Eliasson,148
Franck,148
Hautsalo,148
Heimola,148
Hietarinta,148
Huhtasalo,148
Jakku,148
